source_row,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
162,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,100,50.2,2,8,4.7,108.1,74.6,44.5,5.9,19.2
163,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,79.9,44.8,1.8,6.2,2.8,71.5,68.9,37.9,6.3,13.5
164,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,93.3,53.7,1.7,13,4.1,134.5,81.8,49.2,9.3,23.1
165,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,69.9,40.9,1.7,6.3,4,110.8,75.3,45.3,4.7,25.2
166,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,64.9,37.2,1.7,9.3,3.6,146.5,67.5,39.7,8.4,31.3
167,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,75.1,40.2,1.9,11.6,4.4,72.2,81.9,44.8,6.6,23.8
168,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,87.6,52.3,1.7,12.3,4.2,77.9,66.5,38.9,5.3,19.3
169,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,88.7,56,1.6,12.4,4.6,89.5,81.1,49.4,5.5,19
170,Brachycerae,E. dolichostemon,"Guizhou, Yanhe",C.  Zhang Zhang219,BNU,1,72.2,47.7,1.5,12.3,4.6,99.3,68.5,41.9,9,21.3
171,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",G.Y. Zhong Ｚ- 8901,PE,0,34,24.9,1.4,4.3,4.9,38.4,24.8,19.6,3.4,7.3
172,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",G.Y. Zhong Ｚ- 8901,PE,0,49.8,29.6,1.7,5.6,4.2,60.9,32,23.7,4.9,9.9
173,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,20.7,20.1,1,4,5.6,37.3,16,15.6,4.4,5.4
174,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,18.2,15.4,1.2,3.1,5.3,36.9,13,12.6,3,4.4
175,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,21.9,14.8,1.5,3.9,7.4,38.9,19.5,14.5,4.9,5.7
176,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,35.3,27.6,1.3,5.8,5.2,58.1,26.8,24.3,5.2,8.1
177,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,29.4,22.8,1.3,4.6,5,58.8,22.2,18.1,3.2,6.8
178,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,42,33.4,1.3,9.1,3.7,68.9,30.2,27.5,7.8,9.5
179,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",C.  Zhang Zhang280,BNU,0,34.8,26,1.3,6.7,4.4,54.3,26.4,23.1,5.6,10.1
180,Campanulatae,E. ecalcaratum,"Sichuan, Baoxing",G.Y. Zhong Z-8906,SM,0,52.2,35.2,1.5,6.1,4.4,82.2,41.1,31.4,5.1,9.9
181,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,33.2,26.3,1.3,7.6,6.8,20,33.2,26.3,7.6,7.6
182,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,37.4,34.9,1.1,9.8,6.2,22.9,37.4,34.9,9.8,9.8
183,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,46.6,37.9,1.2,10.9,4.5,20.5,46.6,37.9,10.9,10.9
184,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,36.3,29.4,1.2,9.1,6,19.1,36.3,29.4,9.1,9.1
185,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,39.4,32.4,1.2,9.9,6.1,18.4,39.4,32.4,9.9,9.9
186,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,46.7,39.1,1.2,9.8,5.7,23.2,46.7,39.1,9.8,9.8
187,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,52.3,41,1.3,10.9,5.1,23.8,52.3,41,10.9,10.9
188,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,48.2,31.7,1.5,8.4,5.7,20.8,48.2,31.7,8.4,8.4
189,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,36.1,31.7,1.1,9.1,5.8,17.5,36.1,31.7,9.1,9.1
190,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,42.6,32.7,1.3,9.2,6.4,31,42.6,32.7,9.2,9.2
191,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,37,32.5,1.1,8.8,8.3,23,37,32.5,8.8,8.8
192,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,41.2,34.7,1.2,8.1,5.2,26.1,41.2,34.7,8.1,8.1
193,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,39.3,33,1.2,9.7,4.9,26,39.3,33,9.7,9.7
194,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,52.5,44.3,1.2,12.4,5.6,25.4,52.5,44.3,12.4,12.4
195,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,44.9,35.4,1.3,10.8,5.7,17.2,44.9,35.4,10.8,10.8
196,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,41.2,33.5,1.2,7.9,5.6,21.2,41.2,33.5,7.9,7.9
197,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,42.1,35.9,1.2,10.7,5.9,23.1,42.1,35.9,10.7,10.7
198,Brachycerae,E. elachyphyllum,"Guizhou, Songtao",C.  Zhang Zhang218,BNU,1,39.8,34.2,1.2,9,5.7,21.9,39.8,34.2,9,9
199,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,30.7,30,1,4.8,4.2,107.9,29.1,29.3,6.2,11.9
200,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,35.6,32.3,1.1,4.1,4.4,121,24.1,24.2,4.2,10.9
201,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,61.5,35,1.8,3.5,3.6,130,46.6,28.2,2.7,6.8
202,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,39.8,27.5,1.4,2,3.1,136.2,39.6,31.5,2.8,5.6
203,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,40.8,36.9,1.1,5.7,3.4,133.5,33.6,30.5,3.3,7.2
204,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,33.5,27.2,1.2,3.6,4.4,112.8,24.2,20.6,1.9,2.8
205,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,40.9,35.1,1.2,5.5,3.8,177.9,39.9,33.8,5.1,10.8
206,Dolichocerae,E. elongatum,"Sichuan, Kangding",C. Zhang  Zhang287,BNU,0,29.3,24.3,1.2,2.2,4.1,69.7,26.7,27.2,3.8,6.2
207,Davidianae,E. fangii,"Sichuan, Emeishan",C.  Zhang Zhang234,BNU,0,30.4,16.5,1.8,3.3,7.2,49.2,25.3,16.8,3.7,9.1
208,Davidianae,E. fangii,"Sichuan, Emeishan",C.  Zhang Zhang234,BNU,0,29.5,13.8,2.1,3.2,6,51.8,22.1,13.5,3.2,7.7
209,Davidianae,E. fangii,"Sichuan, Emeishan",M. Ogisu 81207,E,0,72.6,53.6,1.4,10,2.4,78.7,34.8,17.4,1.8,6
210,Davidianae,E. fangii,"Sichuan, Emeishan",M. Ogisu 81007,K,0,59.4,34.5,1.7,2.1,4.1,91,47.1,27.1,2.3,4.8
211,Davidianae,E. fangii,"Sichuan, Emeishan",M. Ogisu 81007,PE,0,72.4,39.7,1.8,3.5,3.4,85.3,56.7,30.7,2.3,10.7
212,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,117.9,35.6,3.3,5.1,4.8,108.7,110,30.1,6.1,26.4
213,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,104,31.5,3.3,3.3,5.8,95.7,103.5,30.4,2.6,21.9
214,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,109.7,34.9,3.1,5.1,4.9,94.9,106,30.6,1.8,24
215,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,58.5,29.5,2,2.8,5.1,89.4,52.8,22.4,2.7,11.3
216,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,118.3,46,2.6,1.5,5.2,108.6,123.8,40.2,8.4,35.2
217,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,100.4,31.7,3.2,6.6,5.2,85.5,86,27.2,5.4,19.9
218,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,110.3,41.4,2.7,12.1,7.1,128.5,111.3,34.4,7.4,30.5
219,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,122.7,44.4,2.8,8.8,4.7,110.1,116.8,39.2,7.5,27
220,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,92.4,31.1,3,6.4,4.7,88.7,82.6,25.6,5.6,18.8
221,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,70.7,32.9,2.2,7.9,4.1,88.6,60.9,28.5,6.2,12.9
222,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,99.1,35.6,2.8,4.5,3.6,87.6,97.1,30.7,3.1,26
223,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,142.1,40.2,3.5,5.9,3.5,112.2,131.4,36.3,5.3,26.4
224,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,91.6,34.7,2.6,6.1,5.2,85.2,86.2,28.6,3.7,30.2
225,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,106,34.9,3,8.3,3.5,128.2,93.7,27.4,4.5,21.7
226,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,115.1,41.4,2.8,11.8,3.1,95.8,99.1,30.7,5.6,29.9
227,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,105.5,30.3,3.5,7.3,4.7,90.9,98,29.8,5.2,20.5
228,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,143.5,51,2.8,12.1,6.9,136.1,126.6,41.3,8.8,32.2
229,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,138.4,45.2,3.1,6.4,5.9,114.8,120.5,37.6,6.1,15.9
230,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,87.1,31.7,2.7,6.4,6.2,86.1,95.3,28.9,4,23.5
231,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,120.7,42,2.9,8.1,6.1,106.9,115.4,35.7,6.3,20.4
232,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,114.2,35.9,3.2,6.2,5.5,115.5,103.9,33.7,4.8,21.8
233,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,80.2,42.5,1.9,9.7,4.4,117.1,73.2,34.7,7.4,21.7
234,Brachycerae,E. fargesii,"Hubei, Shennongjia",C.  Zhang Zhang190,BNU,1,106.7,37.5,2.8,9.2,4.8,103.4,99.7,32,5.4,23.5
235,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,53.5,33.4,1.6,3.2,3.5,71.5,39,28.5,3.8,10.9
236,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,37.2,21,1.8,2.1,3,61.8,26.8,16.2,0.6,5.9
237,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,43.4,23,1.9,1.5,3.7,65.6,27.5,18.2,2,4.1
238,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,47.2,29.8,1.6,2.9,3.9,60.6,32.5,21.4,3.9,5.9
239,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,34,21,1.6,1.4,6.3,45.2,23.4,14.4,1.1,2.7
240,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,33,22.7,1.5,2.6,5.6,52.5,27.5,18.9,2.7,4.4
241,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,38.1,23.6,1.6,2.7,5.9,46.2,27.4,18.7,2.7,4.2
242,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,45.1,22.8,2,2.2,4.4,57.4,28.8,18.2,1.9,4.7
243,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,47.2,27.7,1.7,3,4.5,60.6,33.2,21.3,3.3,6.5
244,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,42.4,24.5,1.7,1.9,4.2,65.9,31.2,19.7,2.2,5.6
245,Davidianae,E. flavum,"Sichuan, Erlangshan",C.  Zhang Zhang289,BNU,0,47.2,30,1.6,3.1,4.3,69.6,35.5,24,3.7,9.5
246,Davidianae,E. flavum,"Sichuan, Erlangshan",G.L. Qu & J.H. Xiong 34234,PE,0,48.9,33.4,1.5,6.5,4.8,68.2,32.8,26.7,6.2,9
247,Davidianae,E. flavum,"Sichuan, Erlangshan",X.L. Jiang 33730,PE,0,52.9,27.2,1.9,2.8,4.3,72.4,40.9,21.9,3.7,7.3
248,Davidianae,E. flavum,"Sichuan, Erlangshan",T. Naito et al. 134,PE,0,34.8,22.3,1.6,2.3,4.3,62.5,33.1,25.1,3.5,7.9
249,Davidianae,E. flavum,"Sichuan, Erlangshan",T. Naito et al. 134,PE,0,38.2,28.4,1.3,3.2,4.4,66.9,33.5,24.1,4.1,8.6
250,Davidianae,E. flavum,"Sichuan, Erlangshan",Sichuan A.C. Exped. 1004,SM,0,46,32.6,1.4,13.9,4.8,54.9,32,22.8,3,9.3
251,Davidianae,E. flavum,"Sichuan, Erlangshan",Tianquan  Exped. 78-0100,SM,0,31.3,26.7,1.2,4,4.5,89.4,31.2,28.6,6.4,9.1
252,Dolichocerae,E. franchetii,"Hubei, Baokang",D.Y. Hong H97043,PE,1,97,45.2,2.1,10.3,3.5,120.8,99.1,46.6,13.2,23.3
253,Dolichocerae,E. franchetii,"Hubei, Enshi",C.  Zhang & L.D. Yang Zhang807,BNU,1,78.3,38.6,2,5.2,3.9,76.4,74.2,35.9,3.9,21.9
254,Dolichocerae,E. franchetii,"Hubei, Enshi",C.  Zhang & L.D. Yang Zhang807,BNU,1,97.5,52.9,1.8,9.8,4.7,90.7,87.1,48.5,12.4,22.4
255,Dolichocerae,E. franchetii,"Hubei, Enshi",C.  Zhang & L.D. Yang Zhang807,BNU,1,84.1,42.6,2,5.6,3.8,81.7,80.6,35.4,5.1,21.5
256,Dolichocerae,E. franchetii,"Hubei, Enshi",C.  Zhang & L.D. Yang Zhang726,BNU,1,76.5,37.7,2,20.1,6.1,84.4,70.9,35.6,6.4,18.8
257,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,106.3,43.2,2.5,3.9,5.5,87.3,98.4,34.4,3.6,21.2
258,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,108.3,43.7,2.5,4.2,3.6,100.4,99.9,41.7,5.3,24.3
259,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,115.9,51.1,2.3,5.6,5.3,118.5,100.5,48.2,8.3,26.8
260,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,86,42.6,2,3.7,6,98,70.7,31.9,3,15
261,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,103.5,43.2,2.4,3.9,5.5,101.3,95.1,39.5,5.2,27.3
262,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,97.1,48.9,2,7,5.5,102.9,81.8,40.3,6.8,17.4
263,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,79.3,41.1,1.9,8.6,4.3,96,81.4,40.3,7.3,26.5
264,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,88.4,38.6,2.3,5.6,3.6,99.7,82.4,23.5,9,19.2
265,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,102.7,41.4,2.5,2.8,5.4,121.8,98.5,36.2,7.7,19
266,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,86.4,49.1,1.8,6.4,6.4,128.7,85,42.9,3.3,21.4
267,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,106.5,44.9,2.4,8.4,3.5,89.6,94,37.7,6.3,19.3
268,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,108.1,44.4,2.4,4,4.9,101.7,99.6,37.3,2.4,20
269,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,114.9,45.4,2.5,4.1,4.4,104.4,99.6,39.3,4.4,30.1
270,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,103,45,2.3,13.1,4.8,99.5,100.1,39,11.4,34.5
271,Dolichocerae,E. franchetii,"Hubei, Shennongjia",C.  Zhang Zhang196,BNU,1,104,42.5,2.4,9.9,4.6,105.2,90.6,35.9,14.3,22.4
272,Dolichocerae,E. franchetii,"Hubei, Wuashan",G.H. Yang 58042,PE,1,117.9,54.2,2.2,11.2,4,92.9,102.8,49.2,12.3,25
273,Dolichocerae,E. franchetii,"Hubei, Wuashan",G.H. Yang 58042,PE,1,97.9,43.6,2.2,7.1,4.6,101.3,89.3,38.2,6.9,21.7
274,Dolichocerae,E. franchetii,"Hubei, Xingshan",Y. Liu 413,PE,1,99.9,34.5,2.9,5.2,5.6,113.7,78.3,32.9,4.2,10.4
275,Dolichocerae,E. franchetii,"Hubei, Xingshan",Y. Liu 413,PE,1,89.7,32.5,2.8,5.5,3.9,113.7,83.1,27.1,2.2,11.2
276,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,120.6,51.8,2.3,5.6,6.2,89.4,110.2,47.2,5.9,33.2
277,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,138.1,49.7,2.8,5.4,4.3,162.8,120.1,37.7,3.5,24.6
278,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,89.4,41.2,2.2,4.7,3.5,79.7,82,39.8,6,21
279,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,108.8,56,1.9,6.9,2.7,91.6,107.5,48.7,6.9,25.1
280,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,107.6,48.7,2.2,4.6,3,103.5,92,42.4,6,21
281,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,98.4,46.9,2.1,2,6,131.9,98.6,35.8,3.4,25.1
282,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,91.9,43.2,2.1,6.4,6.8,108.6,92.4,43.1,6,15
283,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,91.1,46.3,2,6.2,5.7,107.1,96.3,52.5,6,24
284,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,92.8,44.1,2.1,5,2.8,73.7,84.7,36.7,4,20
285,Davidianae,E. hunanense,"Hubei, Hefeng",C.  Zhang Zhang180,BNU,1,104.3,47.6,2.2,5.2,4,105.4,98.2,42.7,5.3,23.2
286,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,122.2,31,3.9,2.5,3,85.1,114.3,32,2.7,26.4
287,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,78.8,20.6,3.8,2.6,4.2,77,68.9,20.5,1.8,12.9
288,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,82.3,26.8,3.1,2,3.3,80.6,83.5,24.7,2.6,16.3
289,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,88.7,34.5,2.6,5.8,3.1,79.8,89.2,35,5.3,19
290,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,81.1,23.3,3.5,3.9,4.7,65.3,73.9,24.3,3.2,9.5
291,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,85.7,29.1,2.9,4.8,4.1,60.8,85.5,27.1,6.1,15.6
292,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,97.7,30,3.3,6.9,4.1,65.6,80.2,25.9,4.5,17.4
293,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,99.3,30.8,3.2,6.9,3.9,62.6,91.5,27.7,5.9,15.9
294,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,108.9,31.7,3.4,2.8,3.5,86,99.1,27.3,2.3,11.7
295,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,114.9,35.7,3.2,4.2,4.2,86.1,98.2,30.6,3,14.5
296,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,73.2,26.7,2.7,4.7,4,75.4,74.8,29.9,6,16.1
297,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,57.7,22.7,2.5,4.6,3.8,68,58.8,21.3,1.2,12.4
298,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,130.4,35.1,3.7,3,2.5,136.7,133.5,37.8,3.4,23.7
299,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,143.6,37.4,3.8,3.8,3.2,71,131.2,41.4,3.2,39.8
300,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,107.1,24.1,4.4,2.1,3.1,63,110.5,26.2,1.7,17
301,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,92.8,29.6,3.1,3,3.3,47.1,84.6,25.6,1.9,16.8
302,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,75,22.1,3.4,2.2,3.2,72.2,85.2,24.9,2.9,18.4
303,Dolichocerae,E. ilicifolium,"Hubei, Zhuxi",C.  Zhang Zhang200,BNU,1,96.4,28.9,3.3,6,3.5,75.4,91.9,28.4,3.4,17.9
304,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang303,BNU,1,120.5,25.3,4.8,3.2,1.7,79.5,118,24.6,0,10.1
305,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang304,BNU,1,114.2,31.9,3.6,2.5,2.4,80.7,115.2,35.5,0,25.8
306,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang305,BNU,1,108.7,26.6,4.1,1.9,4.4,59.8,96.6,24,0,15
307,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang306,BNU,1,100.8,25.4,4,1.2,2.4,63.3,106.6,28.2,0,20
308,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang307,BNU,1,126.4,29.9,4.2,1.2,1.6,67.7,121.9,28.2,0,9.7
309,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang308,BNU,1,104.1,23.9,4.4,1.3,3.3,75.6,92.2,26.7,0,22.1
310,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang309,BNU,1,104.5,21.8,4.8,0.9,2.3,83.4,101.3,22.6,0,17
311,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang310,BNU,1,117.6,27,4.4,1.5,2,79.7,116.3,26.8,0,18
312,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang311,BNU,1,104.5,27.2,3.8,3,2.9,58.9,113.7,33.3,3.5,33.1
313,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang312,BNU,1,107.6,25,4.3,1.3,2.1,66.1,103.7,29.1,0,23.7
314,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang313,BNU,1,123.7,38,3.3,0.8,1.9,83.4,117.5,35.1,0,14.6
315,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang314,BNU,1,109.6,24.4,4.5,2.1,2.6,50.6,107.2,24.1,0,19
316,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang315,BNU,1,122.5,33.3,3.7,3.1,2,79.3,97.5,37.8,0,31.3
317,Dolichocerae,E. jinchengshanense,"Sichuan, Nanchong",C.  Zhang Zhang316,BNU,1,113.5,23.9,4.7,3.6,3.4,72.9,99.7,24.2,0,11.8
318,Dolichocerae,E. leptorrhizum,"Guizhou, Guiyang",C.  Zhang Zhang995,BNU,1,78.9,41.6,1.9,7.3,5.1,67.1,72.8,40.1,11.9,19.4
319,Dolichocerae,E. leptorrhizum,"Guizhou, Guiyang",C.  Zhang Zhang995,BNU,1,58.1,33.3,1.7,6.4,6.1,54.1,61,30.1,8.5,20.1
320,Dolichocerae,E. leptorrhizum,"Guizhou, Guiyang",C.  Zhang Zhang995,BNU,1,71.7,37.3,1.9,8.3,6.8,54.8,94.1,34.2,10.9,27.1
